"Stage","Session Number","Session Heading (Topic)","New Content Focus"
"Stage 1: Electrical Fundamentals & Wiring","1","Electrical Fundamentals (AC/DC)","Learn the basics of voltage, current, resistance, and direct/alternating electrical systems."
"","2","Earthing & Lightning Protection","Understanding ground fault paths, soil resistivity, and surge suppression structures."
"","3","Multimeter Practical","Hands-on measurement of voltage, current, resistance, and continuity checks."
"","4","Electrical Safety & PPE","Safety standards, shock prevention, lock-out tag-out (LOTO), and protective gear."
"","5","Power Supply & SMPS","Working principles of linear power supplies, SMPS, load balancing, and sizing."
"","6","Reading Electrical Drawings","Reading single-line diagrams, schematics, cable schedules, and symbols."
"","7","Cable Selection & Management","Determining gauge size, voltage drops, conduit sizing, and routing paths."
"Stage 2: Analog CCTV Systems","8","Analog CCTV","Understanding analog cameras, video signals, and coaxial cable transmission."
"","9","Camera Selection & Design","Choosing the right focal length, aperture, sensor size, and mounting angles."
"","10","Lens & Field of View","Lens physics, focal lengths, varifocal setups, and field of view calculations."
"","11","DVR Setup with Recording Configuration","DVR setup, storage mapping, frame rates, and encoding configuration."
"Stage 3: Networking Fundamentals & Infrastructure","12","IP Addressing & Subnetting","Fundamentals of IPv4, subnet masks, classful routing, and IP assignment."
"","13","Router & Switch Configuration","Configuring routers, managed switches, gateway routes, and port mappings."
"","14","VLAN Basics","Creating VLAN networks, tag protocols, trunk ports, and subnet segmentation."
"","15","PoE & PoE Switches","Understanding IEEE PoE standards, power budget calculations, and switches."
"Stage 4: IP Camera Systems & VMS","16","IP CCTV","Basics of network IP cameras, VMS servers, and digital video streaming."
"","17","DVR, NVR & Hybrid Systems","Comparing DVRs, NVRs, and hybrid recorders for mixed camera networks."
"","18","RAID & Storage Design","Implementing RAID levels, drive rebuild times, and hot-spare configurations."
"","19","ONVIF Standards","ONVIF Profiles (S, G, T, M) for cross-brand camera interoperability."
"","20","Video Compression (H.264/H.265/H.265+)","Understanding bitrates, keyframe intervals, and bandwidth reduction code."
"","21","AI Analytics","Object classification, line crossing detection, and peripheral triggers."
"","22","ANPR (Automatic Number Plate Recognition)","Configuring vehicle capture angles, illumination, and number plate matching."
"","23","Facial Recognition","Face detection, database matching, similarity thresholds, and analytics."
"","24","ColorVu, AcuSense & Thermal Cameras","Working with low-light sensors, target filtering, and thermal temperature readings."
"","25","PTZ Cameras","Setting up PTZ presets, cruise tracks, patterns, and tracking features."
"","26","Cybersecurity","Securing surveillance networks, default password overrides, and firmware updates."
"","27","Remote Viewing & Cloud","Configuring port forwarding, DDNS, P2P cloud access, and mobile viewing apps."
"Stage 5: Network & Camera Troubleshooting","28","Network Troubleshooting","Using ping, traceroute, and packet sniffers to identify routing blocks."
"","29","Camera Troubleshooting","Diagnosing camera connectivity, video loss, power faults, and focus drift."
"","30","Fiber Optic Basics","Fiber cables, termination methods, splicing, optical budgets, and media transceivers."
"Stage 6: Building Communication Systems (VDP, Intercom, PA)","31","Video Door Phone","Wiring 2-wire/IP indoor monitors and outdoor door bell cameras."
"","32","Intercom Systems","Setting up digital intercom networks, caller IDs, and audio extensions."
"","33","Nurse Calling","Configuring call buttons, corridor lights, and console indicator screens."
"","34","Smart Locks","Integrating Bluetooth, Zigbee, and mechanical key override smart locks."
"","35","Hotel Lock Systems","Deploying magnetic/RFID keycard locks and card encoder management systems."
"","36","Elevator Access Control","Configuring floor restrictor relays, reader integration, and override keys."
"","37","PA/BGM Systems","Designing 100V line audio systems, speaker tap sizing, and amplifiers."
"","38","Basic Building Management Systems (BMS)","BMS architecture, monitoring HVAC, lighting controllers, and sensors."
"Stage 7: Access Control, Biometrics & Attendance","39","Guard Management System","Setting up guard patrol readers, RFID checkpoint buttons, and route logging."
"","40","Visitor Management","Self-service visitor kiosks, badge printing, and database logs."
"","41","Access Control","Installing magnetic locks, exit request buttons, door sensors, and controllers."
"","42","Biometric Systems","Fingerprint, iris, and facial biometric reader wiring and matching templates."
"","43","Attendance System","Configuring check-in rules, shifts, work hours, and payroll report extraction."
"","44","Intruder Alarm Systems","Installing motion detectors, door contacts, vibration sensors, and panels."
"","45","Fire Alarm Systems","Wiring conventional and addressable smoke, heat, and flame detector systems."
"Stage 8: Boom Barriers & Vehicle Gate Systems","46","Boom Barrier","Loop detectors, gate arm balancing, photodetector beams, and barrier wiring."
"","47","Gate Automation","Installing slide and swing gate motor actuators and remote receivers."
"","48","Parking Management","Ticket dispensers, barrier integration, vehicle counting, and fee calculations."
"Stage 9: Smart Home Automation, IoT & KNX","49","Wi-Fi Smart Home","Deploying smart plugs, Wi-Fi switches, and cloud automation profiles."
"","50","Zigbee & Z-Wave","Mesh network protocols, gateway controllers, and battery-powered sensors."
"","51","Matter & Thread","Understanding IP-based smart home interoperability and border routers."
"","52","Alexa & Google Home Integration","Voice command mapping, smart home skills, and device group triggers."
"","53","Home Assistant","Installing HA OS on Raspberry Pi, YAML templates, and custom integrations."
"","54","Smart Lighting & Curtain","Dimmer modules, curtain motor tracks, and light scene automation."
"","55","Smart Irrigation & Energy Monitoring","Automating solenoid water valves and reading electrical submeter logs."
