"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"Stage 1: Electrical Fundamentals & Wiring","1","Electrical Fundamentals (AC/DC)","1","Title Slide - Electrical Fundamentals (AC/DC)","Welcome to Electrical Fundamentals for ELV Engineers."
"","","","","","Core focus on basic electrical parameters and circuits."
"","","","","","Roadmap of the 12 slides in this session."
"","1","Electrical Fundamentals (AC/DC)","2","Atomic Level Properties","Matter consists of atoms containing protons, neutrons, and electrons."
"","","","","","Free electrons in copper move easily, creating electrical current."
"","","","","","Insulating materials (rubber, PVC) block electron flow."
"","1","Electrical Fundamentals (AC/DC)","3","Voltage & Ohm's Law","Voltage (V) is the electromotive force driving charge carriers."
"","","","","","Current (I) is the rate of charge flow measured in Amperes."
"","","","","","Ohm's Law states: Current = Voltage / Resistance (I = V/R)."
"","1","Electrical Fundamentals (AC/DC)","4","Resistance & Heat","Resistance (R) opposes current flow, converting energy to heat."
"","","","","","Joule heating formula (P = IÂ²R) explains power dissipation."
"","","","","","Selecting correct resistor wattage prevents thermal failure."
"","1","Electrical Fundamentals (AC/DC)","5","Power & Watt's Law","Electrical power (P) is the rate of energy consumption in Watts."
"","","","","","Watt's Law states: Power = Voltage Ã— Current (P = V Ã— I)."
"","","","","","Sizing power supplies requires calculating total system wattage."
"","1","Electrical Fundamentals (AC/DC)","6","AC, DC & DC Ripple Profiles","Alternating Current (AC) periodically reverses direction."
"","","","","","Direct Current (DC) flows continuously in a single direction."
"","","","","","DC ripple represents residual AC voltage on a rectified DC line."
"","1","Electrical Fundamentals (AC/DC)","7","Resistor Types & Color Code","Carbon film, metal film, and wirewound resistor profiles."
"","","","","","Read four-band and five-band color codes to find ohm values."
"","","","","","Understanding tolerance ratings (gold = 5%, silver = 10%)."
"","1","Electrical Fundamentals (AC/DC)","8","Resistor Series & Parallel Connections","Series connection adds resistances: R_total = R1 + R2 + R3."
"","","","","","Parallel connection reduces total resistance: 1/R_total = 1/R1 + 1/R2."
"","","","","","Applications in access control loop resistor circuits."
"","1","Electrical Fundamentals (AC/DC)","9","Electrical Series & Parallel Circuits","In series circuits, current is constant; voltage splits."
"","","","","","In parallel circuits, voltage is constant; current splits."
"","","","","","Most ELV hardware and cameras are wired in parallel configurations."
"","1","Electrical Fundamentals (AC/DC)","10","Two-Way Switch Connection (Staircase)","Staircase wiring uses two single-pole double-throw (SPDT) switches."
"","","","","","Allows controlling a single light source from two separate locations."
"","","","","","Phase/Line terminal routing standard for staircase safety."
"","1","Electrical Fundamentals (AC/DC)","11","Wire Crimping & Ferrule Standards","Stripping wire insulation without damaging internal copper cores."
"","","","","","Using bootlace ferrule terminals to prevent wire fraying inside blocks."
"","","","","","Selecting the right crimping tool profiles for different wire gauges."
"","1","Electrical Fundamentals (AC/DC)","12","Lab Session Work","Wire up staircase circuits on a testboard."
"","","","","","Measure series and parallel voltages using a digital multimeter."
"","","","","","Crimp bootlace ferrules onto multi-strand power cables."
"Stage 1: Electrical Fundamentals & Wiring","2","Earthing & Lightning Protection","1","Title Slide - Earthing & Surge Protection","Welcome to Earthing & Lightning Protection."
"","","","","","Focus on system safety, ground paths, and surge suppression."
"","","","","","Overview of the 10 slides in this session."
"","2","Earthing & Lightning Protection","2","What is Earthing?","Earthing provides a low-resistance path for fault currents to return to ground."
"","","","","","Protects users from electric shock due to insulation failure."
"","","","","","Stabilizes voltage levels during transient faults."
"","2","Earthing & Lightning Protection","3","Earthing Topologies","Understanding TN-S, TN-C, and TT grounding setups."
"","","","","","Local copper plate, rod, and chemical gel earthing options."
"","","","","","Soil moisture enhancement treatments for dry regions."
"","2","Earthing & Lightning Protection","4","Soil Resistivity & Moisture","Ground resistivity depends on soil type, moisture, and salt content."
"","","","","","Chemical compounds (bentonite, charcoal) lower resistance."
"","","","","","Performing soil resistivity tests before drilling earth pits."
"","2","Earthing & Lightning Protection","5","Earth Resistance Target Thresholds","Safe earth resistance should ideally be under 5 Ohms."
"","","","","","High-sensitivity instrumentation systems require under 1 Ohm."
"","","","","","Testing resistance periodically using earth tester meters."
"","2","Earthing & Lightning Protection","6","Lightning Protection Systems (LPS)","Franklin rods, early streamer emission (ESE), and Faraday cages."
"","","","","","Down conductors path routing guidelines."
"","","","","","Maintaining physical separation from electrical wires."
"","2","Earthing & Lightning Protection","7","Surge Protection Devices (SPDs)","Metal Oxide Varistors (MOVs) clamp transient voltage surges."
"","","","","","Gas Discharge Tubes (GDTs) handle high-current lightning discharges."
"","","","","","Sizing SPDs based on maximum continuous operating voltage (MCOV)."
"","2","Earthing & Lightning Protection","8","Wiring SPDs in DB Panels","Mounting Type 1 and Type 2 SPDs inside distribution boards."
"","","","","","Keeping connection lead lengths under 50cm to minimize impedance."
"","","","","","Wiring Earth lines directly to the main grounding busbar."
"","2","Earthing & Lightning Protection","9","Earthing in Security & ELV Systems","Preventing ground loop noise in analog CCTV networks."
"","","","","","Shield grounding protocols for STP Ethernet and RS485 communication cables."
"","","","","","Isolated grounding bars for sensitive server racks."
"","2","Earthing & Lightning Protection","10","Practical Lab Guide","Measure earth pit resistance using a three-point fall-of-potential tester."
"","","","","","Inspect chemical earthing rods and compound treatments."
"","","","","","Install and wire a surge protection module in a test DB panel."
"Stage 1: Electrical Fundamentals & Wiring","3","Multimeter Practical","1","Title Slide - Multimeter Practical","Welcome and overview of Multimeter Practical concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","3","Multimeter Practical","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","3","Multimeter Practical","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","3","Multimeter Practical","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","3","Multimeter Practical","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","3","Multimeter Practical","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","3","Multimeter Practical","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","3","Multimeter Practical","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","3","Multimeter Practical","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","3","Multimeter Practical","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 1: Electrical Fundamentals & Wiring","4","Electrical Safety & PPE","1","Title Slide - Electrical Safety & PPE","Welcome and overview of Electrical Safety & PPE concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","4","Electrical Safety & PPE","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","4","Electrical Safety & PPE","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","4","Electrical Safety & PPE","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","4","Electrical Safety & PPE","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","4","Electrical Safety & PPE","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","4","Electrical Safety & PPE","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","4","Electrical Safety & PPE","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","4","Electrical Safety & PPE","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","4","Electrical Safety & PPE","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 1: Electrical Fundamentals & Wiring","5","Power Supply & SMPS","1","Title Slide - Power Supply & SMPS","Welcome and overview of Power Supply & SMPS concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","5","Power Supply & SMPS","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","5","Power Supply & SMPS","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","5","Power Supply & SMPS","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","5","Power Supply & SMPS","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","5","Power Supply & SMPS","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","5","Power Supply & SMPS","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","5","Power Supply & SMPS","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","5","Power Supply & SMPS","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","5","Power Supply & SMPS","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 1: Electrical Fundamentals & Wiring","6","Reading Electrical Drawings","1","Title Slide - Reading Electrical Drawings","Welcome and overview of Reading Electrical Drawings concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","6","Reading Electrical Drawings","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","6","Reading Electrical Drawings","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","6","Reading Electrical Drawings","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","6","Reading Electrical Drawings","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
