"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point","SVG Image Making Plan"
"Stage 1: Electrical Fundamentals & Wiring","1","Electrical Fundamentals (AC/DC)","1","Introduction to Electrical Fundamentals (AC/DC)","Welcome to the basic concepts of Electrical Fundamentals (AC/DC).","Overview graphic of Electrical Fundamentals (AC/DC) highlighting core components and safety symbols."
"","","","","","Learn what tools and safety gear you need to start.",""
"","","","","","See how this topic applies to everyday security systems.",""
"","1","Electrical Fundamentals (AC/DC)","2","Basic Parts and Components","Identify the main parts used in this setup.","Detailed diagram showing labels for every major component and wire connection."
"","","","","","Understand the role of each component.",""
"","","","","","Learn how to select the right parts for your project.",""
"","1","Electrical Fundamentals (AC/DC)","3","How It Works (Step-by-Step)","Follow the path of electricity through the system.","Flowchart showing the step-by-step path of power and signal controls."
"","","","","","Learn what happens when you turn the power on.",""
"","","","","","Understand how the system controls electric currents.",""
"","1","Electrical Fundamentals (AC/DC)","4","Wiring and Connection Guide","Learn where to connect each wire safely.","Wiring schematic layout showing exact terminal block connections and wire colors."
"","","","","","Understand color codes and terminal labels.",""
"","","","","","Avoid common wiring mistakes that cause damage.",""
"","1","Electrical Fundamentals (AC/DC)","5","Safety Rules and Precautions","Always turn off the main breaker before working.","Safety card layout showing LOTO lock, danger signs, and safety gear symbols."
"","","","","","Use protective gear like rubber gloves and boots.",""
"","","","","","Learn how to handle electrical faults safely.",""
"","1","Electrical Fundamentals (AC/DC)","6","System Testing and Diagnostics","Use a multimeter to measure voltage and checks.","Diagram of multimeter leads connected to circuit test points showing reading dials."
"","","","","","Test if the circuit is complete using continuity mode.",""
"","","","","","Verify that the output voltage matches specifications.",""
"","1","Electrical Fundamentals (AC/DC)","7","Common Problems & Easy Fixes","Check for loose wires first if the system is dead.","Troubleshooting guide table matching error signs to fast check points."
"","","","","","Replace blown fuses with the correct rating.",""
"","","","","","Identify broken components by checking input power.",""
"","1","Electrical Fundamentals (AC/DC)","8","Simple Calculations Made Easy","Calculate total power requirements in simple steps.","Sizing formula card showing example calculation steps for load and battery."
"","","","","","Find the correct wire thickness for long cable runs.",""
"","","","","","Size backup batteries for power cuts.",""
"","1","Electrical Fundamentals (AC/DC)","9","Practical Installation Rules","Mount the panels at the correct height.","Site mounting blueprint showing correct installation heights and conduit routing."
"","","","","","Use protective PVC pipes to run cables.",""
"","","","","","Keep water and moisture away from electrical joints.",""
"","1","Electrical Fundamentals (AC/DC)","10","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","1","Electrical Fundamentals (AC/DC)","11","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","1","Electrical Fundamentals (AC/DC)","12","Hands-On Lab Activity","Build the base circuit on a demo board.","Lab workbench diagram listing wire tools, boards, and checklist steps."
"","","","","","Measure voltages at different points in the loop.",""
"","","","","","Crimp and secure all wire terminals.",""
"","2","Earthing & Lightning Protection","1","Introduction to Earthing & Lightning Protection","Welcome to the basic concepts of Earthing & Lightning Protection.","Overview graphic of Earthing & Lightning Protection highlighting core components and safety symbols."
"","","","","","Learn what tools and safety gear you need to start.",""
"","","","","","See how this topic applies to everyday security systems.",""
"","2","Earthing & Lightning Protection","2","Basic Parts and Components","Identify the main parts used in this setup.","Detailed diagram showing labels for every major component and wire connection."
"","","","","","Understand the role of each component.",""
"","","","","","Learn how to select the right parts for your project.",""
