"Session Number","Week","Module","Topic","Hours","Focus & Practical Scope","Materials Required","Practical Session Works","Merged Lab Activities","Included in Slides"
"1","W1","Module 1: Electrical & Networking","Electrical Fundamentals (AC/DC)","2 Hrs","[x] Slide 1: Title Slide - Electrical Fundamentals (AC/DC)
[x] Slide 2: Atomic Level Properties
[x] Slide 3: Voltage & Ohm's Law
[x] Slide 4: Resistance & Heat
[x] Slide 5: Power & Watt's Law
[x] Slide 6: AC, DC & DC Ripple Profiles
[x] Slide 7: Resistor Types & Color Code
[x] Slide 8: Resistor Series & Parallel Connections
[x] Slide 9: Electrical Series & Parallel Circuits
[x] Slide 10: Two-Way Switch Connection (Staircase)
[x] Slide 11: Wire Crimping & Ferrule Standards
[x] Slide 12: Lab Session Work","- Modular switch & 3-pin socket
- Two-way SPDT switches & bulb
- 1.5 sq mm copper wire
- Digital DMM","- Mount switch/socket on board
- Wire live/neutral loop connections
- Wire two-way switch staircase loop","","TRUE"
"2","W1","Module 1: Electrical & Networking","Earthing & Lightning Protection","2 Hrs","[x] Slide 1: Title Slide - Earthing & Surge Protection
[x] Slide 2: What is Earthing?
[x] Slide 3: Earthing Topologies
[x] Slide 4: Soil Resistivity & Moisture
[x] Slide 5: Earth Resistance Target Thresholds
[x] Slide 6: Lightning Protection Systems (LPS)
[x] Slide 7: Surge Protection Devices (SPDs)
[x] Slide 8: Wiring SPDs in DB Panels
[x] Slide 9: Earthing in Security & ELV Systems
[x] Slide 10: Practical Lab Guide","- GI earth pipe & grounding wire
- Brass connection bolts
- Salt, charcoal, sand backfill
- Series test lamp","- Connect ground wire clamp to pipe
- Layout backfill layers in test pit
- Perform Phase-to-Earth bulb glow test","","TRUE"
"3","W1","Module 1: Electrical & Networking","Multimeter Practical","3 Hrs","[x] Slide 1: Title Slide - Multimeter & Diagnostics
[x] Slide 2: What is a Multimeter?
[x] Slide 3: Selector Dial Symbols
[x] Slide 4: Lead Port Connections
[x] Slide 5: Measuring Voltage Safely
[x] Slide 6: Measuring Resistance
[x] Slide 7: Continuity Testing
[x] Slide 8: Diagnostic: Socket Voltage Audit
[x] Slide 9: Diagnostic: Security EOL Loops
[x] Slide 10: Practical Lab Guide","- Multimeter & probes
- Test lamp
- Junction box with simulated faults","- Measure Phase-Neutral/Phase-Earth/Neutral-Earth
- Use continuity mode to find broken cores
- Hunt for short-circuit faults inside box","","TRUE"
"4","W1","Module 1: Electrical & Networking","Electrical Safety & PPE","1 Hr","[x] Slide 1: Title Slide - Electrical Safety & Breakers
[x] Slide 2: Danger of Electricity
[x] Slide 3: Current Damage Thresholds
[x] Slide 4: Lockout-Tagout (LOTO) Rules
[x] Slide 5: Overcurrent: Overload vs Short
[x] Slide 6: Miniature Circuit Breakers (MCBs)
[x] Slide 7: Residual Current Breakers (RCCBs)
[x] Slide 8: Leakage Protection standard
[x] Slide 9: Breaker Testing & Audits
[x] Slide 10: Practical Lab Guide","- Single-phase DB board
- double-pole MCB breaker
- 30mA RCCB leakage safety
- 60W test lamp & holder","- Install MCB & RCCB inside DB
- Wire switchboard through breakers
- Connect test lamp Phase-to-Earth to trip RCCB","","TRUE"
"5","W2","Module 1: Electrical & Networking","Power Supply & SMPS","2 Hrs","[x] Slide 1: Title Slide - Power Supply & SMPS
[x] Slide 2: Linear vs. Switch-Mode (SMPS)
[x] Slide 3: Inside an SMPS
[x] Slide 4: SMPS Specification Plates
[x] Slide 5: Output Voltage Calibration
[x] Slide 6: Backup Battery Charging
[x] Slide 7: SLA Battery Runtime Sizing
[x] Slide 8: Troubleshooting SMPS Faults
[x] Slide 9: Multi-Output Distribution Panels
[x] Slide 10: Practical Lab Guide","- 12V 10A CCTV SMPS unit
- Multi-output block
- 12V 7Ah SLA battery
- Digital multimeter","- Mount and wire SMPS input terminals
- Adjust output pot to 12.2V DC
- Connect backup battery and test load runtime","","TRUE"
"6","W2","Module 1: Electrical & Networking","Reading Electrical Drawings","2 Hrs","[x] Slide 1: Title Slide - Reading Drawings & Schematics
[x] Slide 2: Schematic Symbol Legends
[x] Slide 3: Single Line Diagrams (SLDs)
[x] Slide 4: Schematic Grid Coordinates
[x] Slide 5: Wiring Tagging & Ferruling Standards
[x] Slide 6: What is a Relay & How It Works
[x] Slide 7: Types of Relays
[x] Slide 8: The 0/1 Digital Signal Concept
[x] Slide 9: Switching Triggers: Dry vs. Wet
[x] Slide 10: Relays & Electromagnetic Locks
[x] Slide 11: Access Control Loop Blueprint
[x] Slide 12: Fire Alarm Relay Integration
[x] Slide 13: Blueprint Troubleshooting
[x] Slide 14: Practical Lab Guide","- Site wiring schematics & relay board
- 12V EM lock & exit push button
- Wire ferrule tags & crimper","- Trace active paths on 3-page schematic
- Wire relay door lock loops matching prints
- Test fire panels emergency cut-off trip","","TRUE"
"7","W2","Module 1: Electrical & Networking","Cable Selection & Management","2 Hrs","[x] Slide 1: Title Slide - Cable Selection & Conduits
[x] Slide 2: Wire Sizing Standards
[x] Slide 3: Line Voltage Drop Calculations
[x] Slide 4: ELV Cable Selection Profiles
[x] Slide 5: PVC & GI Conduits
[x] Slide 6: The 40% Fill Rule
[x] Slide 7: Bending & Saddling PVC Pipes
[x] Slide 8: Separation of Services
[x] Slide 9: Splicing & Jointing Standards
[x] Slide 10: Practical Lab Guide","- PVC conduits, spacer clips, plugs
- Manual bending spring
- Binding wire & junction boxes
- PVC insulation tape","- Mount PVC conduits onto board
- Bend $90^\circ$ curves using spring
- Pull wires using binding wire
- Make pigtail joints inside box & tape-wrap","","TRUE"
"8","W2","Module 2: Professional CCTV Systems","Analog & IP CCTV","2 Hrs","[x] Slide 1: Title Slide - Analog & IP CCTV Systems
[x] Slide 2: Analog CCTV Basics
[x] Slide 3: IP CCTV Basics
[x] Slide 4: Signal Latency Comparison
[x] Slide 5: HD-TVI Protocols
[x] Slide 6: Video Baluns
[x] Slide 7: Coaxial Distance Sizing Limits
[x] Slide 8: Ethernet Sizing Limits
[x] Slide 9: DVR, NVR & Hybrid Recorders
[x] Slide 10: Practical Lab Guide","- HD-TVI Analog camera & IP Dome
- Coaxial cable & Cat6 spool
- BNC connectors & video baluns","- Crimp BNC connector on coaxial cable
- Wire video baluns over Cat6 runs
- Connect feeds to DVR/NVR to compare latency","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"9","W3","Module 2: Professional CCTV Systems","Camera Selection & Design","3 Hrs","[x] Slide 1: Title Slide - Camera Selection & Design
[x] Slide 2: Dome Camera Enclosures
[x] Slide 3: Bullet Camera Enclosures
[x] Slide 4: Turret / Eyeball Cameras
[x] Slide 5: Low-Light Sensors & Lux Ratings
[x] Slide 6: WDR (Wide Dynamic Range)
[x] Slide 7: Infrared Night Illumination
[x] Slide 8: DORI Design Standards
[x] Slide 9: Mounts & Brackets Sizing
[x] Slide 10: Practical Lab Guide","- Dome, Bullet, and Turret cameras
- Wall bracket mounts
- Lux level datasheets","- Mount Dome and Bullet cameras on brackets
- Verify WDR backlight compensation settings
- Test camera output under dark/low lux settings","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
"10","W3","Module 2: Professional CCTV Systems","Lens & Field of View","2 Hrs","[x] Slide 1: Title Slide - Lens & Field of View
[x] Slide 2: Lens Focal Length
[x] Slide 3: Aperture (F-Stop)
[x] Slide 4: Fixed vs. Varifocal Lenses
[x] Slide 5: Motorized Varifocal Lenses
[x] Slide 6: Angle of View Calculations
[x] Slide 7: Optical vs. Digital Zoom
[x] Slide 8: Depth of Field (DOF)
[x] Slide 9: Lens Calculation Software
[x] Slide 10: Practical Lab Guide","- Fixed cameras (2.8mm & 4mm)
- Motorized varifocal camera
- Lens calculator mobile application","- Compare FOV angles of 2.8mm and 4mm lenses
- Calibrate varifocal zoom/focus remotely
- Run lens calculations for a mock warehouse","[Complete Office CCTV Installation]
Activities:
- Coaxial/Cat6 routing runs
- Camera hardware mountings
- NVR network config
Works:
- Run cables from cameras to central DB rack
- Mount cameras, terminate BNC/RJ45 ends
- Power up NVR, initialize HDD, configure feeds","TRUE"
